100%_THP,80%_THP,60%_THP,50%_THP,40%_THP,30%_THP,20%_THP,10%_THP,PHA(-),PC3,H2O,Air
10.57,10.57,10.57,10.55,10.56,10.58,10.57,10.57,10.57,10.57,10.56,10.58
604.58,582.13,578.31,541.04,596.71,601.92,601.23,603.04,546.89,591.21,590.75,540.27
1133.78,1038.22,1035.03,862.68,1108.01,1111.11,1113.8,1105.74,876.54,1055.53,1087.74,879.17
2222.8,1873.51,1804.41,1124.62,2079.26,2132.37,2173.36,2147.21,1155.85,1856.26,2063.23,1280.72
2863.18,2328.06,2187.56,1172.51,2837.8,2839.64,3015.18,2873.83,1204.98,2253.7,2707.11,1348.43
2495.87,2052,1962.92,1073.6,2310.57,2438.07,2404.9,2435.04,1127.45,1973.11,2315.95,1195.34
2212.09,1799.88,1757.54,1033.65,1997.06,2142.44,2065.35,2058.15,1085.56,1659.94,1955.29,1066.73
2412.78,1871.71,1820.33,975.23,2229.74,2376.93,2412.1,2380.18,1065.48,1725.63,2229.56,1074.2
2379.53,1847.66,1810.21,928.94,2280.74,2255.36,2200.32,2258.14,1060.2,1660.6,2190.94,998.15
2024.17,1680.66,1595.76,874.99,1890.15,1998.47,2000.54,1978.08,987.16,1502.86,1826.88,909.43
1797.44,1513.09,1473.55,835.27,1708.9,1814.43,1797.07,1778.47,959.09,1352.44,1689.92,832.8
1841.9,1509.3,1452.81,799.85,1708.58,1825.21,1786.23,1820.72,906.82,1311.12,1668.93,799.84
1692.34,1423.85,1353.47,766.24,1618.23,1697.75,1689.92,1692.34,878.9,1223.14,1570.26,747.06
1520.51,1310.58,1259.59,743.93,1473.81,1543.45,1522.04,1533.65,853.17,1124.14,1447.94,707.52
1418.62,1234.59,1212.89,717.63,1371.74,1439.93,1389.46,1422.92,828.71,1040.27,1358.01,669.05
1409.74,1184.91,1143.61,697.28,1330.61,1379.67,1362.76,1350.92,794.77,1011.45,1266.74,631.1
1283,1108.14,1093.69,676.37,1228.45,1301.28,1281.26,1311.16,764.67,931.68,1202.08,601.28
1238.62,1077.94,1054.62,655.37,1174.09,1242.31,1215.4,1228.57,728.58,882.14,1140.16,571.59
1163.27,1017.59,998.77,610.07,1100.72,1166.48,1152.98,1173.57,718.53,831.54,1085.5,549.28
1126,976.29,955.98,583.44,1052.54,1105.32,1113.87,1113.87,684.78,799.81,1046.69,525.8
1042.01,927.72,913.87,573.68,1004.19,1061.53,1063.21,1046.49,667.78,766.85,994.07,501
1017.2,889.6,893.14,557.88,970.97,1008.68,1007.29,1025.77,651.95,732.88,949.15,485
969.66,857.15,858.12,542.71,921.25,972.98,968.32,963.2,627.72,695.42,902.38,463.77
936.73,821.43,822.28,523.86,892.31,930.61,922.55,928.53,608.93,675.08,871.72,451.45
891.78,798.36,794.04,516.62,843.6,896.66,883.73,894.22,597.48,645.96,833.87,434.8
864.14,768.93,760.22,506.89,801.47,863.38,865.84,858.93,577.93,623.05,807.21,418.06
835.93,751.62,733.38,496.43,779.05,828.74,837.05,816.26,568.62,606.78,777.93,405.53
787.88,705.84,707.59,475.69,756.61,784.24,784.48,795.76,547.35,572.87,746.17,392.47
763.06,693.45,691.67,468.98,741.37,768.16,762.01,762.01,530.89,557.83,728.46,380.27
742.65,677.93,673.68,465.11,705.59,739.52,742.65,747.54,520.26,539.82,701.59,370.66
722.16,653.1,656.85,453.34,693.86,721.14,724.95,728.01,508.54,522.9,679.99,359.99
688.79,627,628.92,442.31,665.21,698.52,695.42,696.77,497.86,506.17,661.82,347.93
677.93,618.94,612.84,432.47,636.62,679.02,673.09,673.66,481.73,492.66,640.01,341.41
664.71,600.09,603.79,432.1,637.49,668.96,661.84,668.49,477.07,479.45,627.17,333.68
648.37,588.41,589.25,420.35,615.37,635.36,642.67,641.79,468,463.99,606.17,324.03
621.07,563.55,567.47,409.96,589.09,611.71,619.06,612.56,447.86,445.36,585.85,315.19
607.84,547.89,538.62,410.96,587.08,575.93,610.32,607.25,442.03,439.46,569.82,309.49
584.52,539.37,542.53,400.7,568.03,587.47,581.75,588.88,434.55,427.09,553.19,301.98
575.98,526.15,527.72,393.34,552.23,560.83,575.4,572.55,426.34,414.61,543.23,296
559.08,508.73,513.79,386.96,532.85,539.51,555.86,567.88,416.84,399,542.45,286.82
546.02,500.05,501.13,380.45,522.26,530.03,535.7,543.66,404.64,391.5,511.52,281.27
532.08,491.44,495.02,372.88,514.2,516.91,529.06,528.27,404.49,384.95,502.38,276.01
520.3,474.12,481.79,371.62,501.1,497.31,514.13,511.99,393.61,371.48,492.2,270.33
503.64,457.51,467,359.93,476.84,486.81,491.71,495.41,383.2,368.53,478.14,262.12
492.97,450.59,464.27,353.14,477.99,483.15,496.07,493.59,378.28,354.49,469.29,260.16
475.69,440.12,441.88,349.35,457.81,461.12,478.55,475.7,367.75,348.25,455.64,252.6
468.3,433.23,437.29,346.87,449.24,453.39,466.58,468.25,358.82,340.88,442.97,247.35
454.13,425.11,424.2,342.12,437.32,443.74,453.58,453.65,355.12,333.05,431.66,241.1
444.36,414.52,421.14,334.8,430.74,433.64,450.26,444.27,348.38,325.08,422.5,237.82
436.69,406.05,408.65,332.52,417.57,423.92,434.69,435.33,345.65,315.26,411.34,233.53
425.07,396.35,403.07,325.93,414.83,420.9,422.42,424.81,337.18,312.52,402.15,229.58
416.96,387.84,390.92,320.63,400.59,404.71,413.92,415.47,329.41,304.32,392.58,224.3
408.72,376.09,383.1,316.89,391,400.42,411.34,407.25,323.65,299.85,392.2,222.27
399.5,373.31,374.56,309.91,384.76,387.63,403.42,402.94,322.89,293.02,381.91,216.54
387.72,364.25,369.19,307.07,379.23,381.83,391.65,389.63,313.37,291.23,373.15,212.9
380.62,355.97,358.29,304.29,368.58,369.03,382.27,378.28,309.12,282.17,365.43,208.86
376.24,350.26,353.21,299.58,358.4,364.8,374.02,373.13,304.13,276.97,358.17,205.66
369.04,343.77,347.31,295.26,355.11,351.9,366.26,366.06,299.17,271.42,351.16,202.03
360.65,339.63,336.27,274.4,353.29,351.79,361.24,357.94,292.7,268.79,342.21,199.29
354.35,339.51,342.04,281.35,342.36,347.05,350.07,337.44,289.32,261.27,342.83,196.15
349.39,323.16,327.99,277.61,338.83,340.81,348.49,350.43,287.36,258.04,332.43,192.94
342.12,321.9,325.17,272.64,331.86,334.12,339.12,341.49,280.81,253.46,328.98,189.95
337.82,317.48,317.72,270.07,327.66,329.37,337.58,337.96,275.1,249.46,323.52,187.08
331.98,312.07,309.93,266.02,321.7,325.09,330.85,331.23,272.89,245.31,317.01,183.7
326.73,304.69,310.12,263.08,316.02,318.79,325.3,320.88,267.87,241.28,311.04,183.07
321.16,301.11,304.88,258.9,312.32,314.24,320.79,319.97,264.85,239.08,306.4,179.31
316.9,298.26,300.85,256.39,306,308.95,316.82,315.67,260.92,235.11,302.54,176.68
311.68,292.71,295.85,253.36,302.82,304.35,310.56,310.91,257.07,231.24,297.65,174.32
305.9,287.99,290.64,249.76,297.07,299.5,305.96,306.3,253.51,228.53,292.72,171.71
302.75,284.04,286.23,246.71,293.37,294.68,300.99,303.14,251.36,225.24,291.03,169.43
296.82,279.84,283.54,243.38,287.73,290.38,297.2,296.86,246.61,222,284.54,167.49
292.78,275.44,279.02,240.6,283.29,285.85,294.49,292.48,242.99,218.83,280.78,165.14
287.53,271.24,274.86,238.57,273.95,281.43,287.24,287.85,240.01,214.95,276.17,162.53
284.36,267.17,273.87,235.86,275.56,275.55,283.37,285.29,236.69,211.91,271.66,160.63
280.52,264.51,266.89,235.14,271.66,273.45,280.52,283.73,234.07,209.98,268.13,158.85
277.1,260.89,262.14,232.1,267.55,269.31,275.55,279.27,233.21,206.51,258.96,157.04
271.03,250.37,263.76,232.87,270.38,267.89,260.83,268.44,233.72,207.63,267.92,154.83
267.77,244.56,259.87,223.31,260.55,277.34,265.67,268.66,229.36,197.66,247.6,152.88
263.72,249.74,247.12,222.22,258.35,260.45,264.28,264.55,223.14,197.64,252.45,150.93
260.02,245.73,248.5,221.95,252.72,255.34,261.05,257,219.92,196.9,247.19,149.08
257.48,242.68,246.5,217.81,249.8,250.3,256.67,257.98,216.05,192.91,245.32,147.25
253.55,239.85,242.96,215.78,246.32,247.37,253.11,253.93,214.05,191.13,243.2,145.67
249.58,236.06,239.72,213.16,242.68,245.63,248.32,250.58,212.16,188.62,239,143.69
249.55,232.41,235.81,211.12,239.82,241.87,247.26,246.29,209.3,186.5,235.61,141.77
243.65,229.45,233.46,208.85,236.76,239.17,243.13,241.02,209.75,183.9,233.21,140.25
239.06,226.55,226.91,207.46,231.92,236.44,242.76,241.82,201.63,186.24,229.48,138.89
235.53,223.54,225.94,203.88,230.62,230.64,239.06,237.82,201.91,181.29,228.23,137.03
232.02,221.06,225.01,203.16,227.62,232.08,231.1,233,198.18,175.48,224.12,135.43
228.22,215.23,222.94,203.33,226.97,231.91,229.89,233.19,196.84,175.23,222.47,133.81
226.16,210.99,223.47,202.41,221.55,224.28,229.03,224.65,194.84,173.85,217.49,132.22
225.01,212.77,216.01,199.27,218.93,218.77,223.69,227.96,194.12,172.71,222.49,130.81
220.81,208.13,213.76,194.29,216.47,217.8,223.12,223.06,192.17,174.65,211.15,129.73
217.58,207.23,214.68,193.06,218.96,220.83,223.41,221.75,188.65,163.03,206.61,128.26
215.87,204.72,208.14,179.04,204.09,211.47,212.47,215.37,187.23,165.59,208.84,127.06
214.14,209.68,193.94,190.39,209.53,208.24,214.81,210.79,180.51,164.21,206.33,125.83
210.89,195.89,204.74,187.26,206.74,207.71,214.25,212.55,185.63,163.71,203.27,124.5
207.12,207.64,201.98,184.97,198.98,207.75,214.37,210.08,180.03,159.77,196.62,123.09
204.92,196.15,195.81,186.63,203.11,205.22,210.86,207.56,179.1,158.72,201.8,121.81
203.37,194.51,199.83,182.48,201.18,201.51,206.36,208.59,180.05,157.26,198.04,120.81
200.86,192.14,196.13,180.26,197.9,199.49,203.31,202.76,176.01,155.34,194.64,119.57
